id,name,type,muscle,equipment,difficulty,instructions,subscription,subscription_price_weekly,subscription_price_monthly,subscription_price_yearly
1,Incline Hammer Curls,strength,biceps,dumbbell,beginner,"Seat yourself on an incline bench with a dumbbell in each hand. You should be pressed firmly against the back with your feet together. Allow the dumbbells to hang straight down at your side, holding them with a neutral grip. This will be your starting position. Initiate the movement by flexing at the elbow, attempting to keep the upper arm stationary. Continue to the top of the movement and pause, then slowly return to the start position.",PAID,10,100,1200
2,Barbell Squat,strength,quadriceps,barbell,intermediate,"Stand with your feet shoulder-width apart, holding a barbell across your upper back. Bend your knees and hips to lower your body as far as you can. Pause, then slowly return to the starting position.",FREE,0,0,0
3,Bench Press,strength,chest,barbell,intermediate,"Lie back on a flat bench holding a barbell with your hands slightly wider than shoulder-width apart. Lower the bar to your chest, then press it back up to the starting position.",PAID,10,100,1200
4,Deadlift,strength,back,barbell,advanced,"Stand with your mid-foot under the barbell. Bend at the hips and knees, grab the bar with an overhand grip, and stand up while keeping the bar close to your body. Return to the starting position.",PAID,10,100,1200
5,Pull-Up,strength,back,body weight,advanced,"Hang from a pull-up bar with your hands slightly wider than shoulder-width apart. Pull your body up until your chin is above the bar, then lower yourself back to the starting position.",FREE,0,0,0
6,Plank,endurance,core,body weight,beginner,Position yourself face down with your forearms and toes on the floor. Keep your body in a straight line from head to toe without sagging. Hold this position for as long as possible.,PAID,10,100,1200
7,Dumbbell Shoulder Press,strength,shoulders,dumbbell,intermediate,"Sit on a bench with a dumbbell in each hand at shoulder height, palms facing forward. Press the weights overhead until your arms are fully extended, then lower them back to the starting position.",PAID,10,100,1200
8,Tricep Dips,strength,triceps,body weight,beginner,"Position yourself on parallel bars with your arms straight and your feet off the ground. Lower your body by bending your elbows until your upper arms are parallel to the ground, then press yourself back up to the starting position.",PAID,10,100,1200
9,Leg Press,strength,quadriceps,machine,beginner,"Sit on a leg press machine with your feet shoulder-width apart on the platform. Lower the platform by bending your knees, then press it back up to the starting position.",FREE,0,0,0
10,Bicep Curl,strength,biceps,dumbbell,beginner,"Stand with a dumbbell in each hand, palms facing forward. Curl the weights towards your shoulders by bending your elbows, then lower them back to the starting position.",FREE,0,0,0
11,Russian Twists,endurance,core,body weight,beginner,"Sit on the floor with your knees bent and your feet lifted. Lean back slightly and twist your torso from side to side, tapping the floor beside you with your hands.",PAID,10,100,1200
12,Lunges,strength,glutes,body weight,beginner,"Stand with your feet together, then step forward with one leg and lower your body until your front knee is bent at 90 degrees. Push back to the starting position and repeat on the other side.",FREE,0,0,0
13,Bent Over Rows,strength,back,barbell,intermediate,"Hold a barbell with an overhand grip, bend at the hips until your torso is almost parallel to the floor. Pull the barbell towards your stomach, then lower it back to the starting position.",PAID,10,100,1200
14,Calf Raises,strength,calves,body weight,beginner,"Stand with your feet shoulder-width apart, rise up onto your toes, then lower back down to the starting position.",PAID,10,100,1200
15,Seated Row,strength,back,machine,beginner,"Sit at a rowing machine with your feet planted on the platform. Grab the handles and pull them towards your body, squeezing your shoulder blades together, then slowly return to the starting position.",PAID,10,100,1200
16,Chest Fly,strength,chest,dumbbell,intermediate,"Lie on a bench with a dumbbell in each hand, palms facing each other. Lower the weights out to the sides in an arc motion, then bring them back up to the starting position.",FREE,0,0,0
17,Side Plank,endurance,core,body weight,beginner,Lie on your side with your legs straight and your elbow directly under your shoulder. Lift your hips off the ground and hold this position for as long as possible.,PAID,10,100,1200
18,Leg Raises,endurance,core,body weight,beginner,"Lie on your back with your legs straight. Lift your legs towards the ceiling, keeping them straight, then lower them back down to the starting position.",PAID,10,100,1200
19,Overhead Tricep Extension,strength,triceps,dumbbell,beginner,"Stand with your feet shoulder-width apart, holding a dumbbell with both hands behind your head. Extend your arms to lift the weight overhead, then lower it back to the starting position.",FREE,0,0,0
20,Mountain Climbers,endurance,core,body weight,beginner,"Start in a plank position, then alternate bringing your knees towards your chest as quickly as possible.",FREE,0,0,0
